Departamentos;Muestras Claro;Muestras Personal;Muestras Movistar;THP Claro;THP Personal;THP Movistar;Latencia Claro;Latencia Mejor;Intensidad Claro;Intensidad Mejor;Tiempo IyV Claro;Tiempo IyV Mejor;Localidad;Provincia;Periodo
Baradero, BUENOS AIRES;1,510,000;3,280,000;243;11.37;12.12;11.27;62;62;-103;-103;57;57;Baradero;BUENOS AIRES;mar-24
Cruz Alta, TUCUMÁN;6,320,000;15,100,000;1,680,000;12.43;14.93;8.48;78;62;-102;-99;71;58;Cruz Alta;TUCUMÁN;mar-24
San Juan, SAN JUAN;3,600,000;2,260,000;8,310,000;14.46;19.33;11.61;72;61;-99;-94;64;54;San Juan;SAN JUAN;mar-24
9 de Julio, CHACO;85,8;2,060,000;641;16.56;10.12;12.56;75;75;-103;-102;65;65;9 de Julio;CHACO;mar-24
Corrientes, CORRIENTES;13,900,000;20,300,000;2,290,000;11.20;10.73;12.21;81;68;-100;-100;74;64;Corrientes;CORRIENTES;mar-24
Ensenada, BUENOS AIRES;592;2,670,000;4,010,000;12.58;16.05;10.79;56;55;-104;-102;50;50;Ensenada;BUENOS AIRES;mar-24
Ezeiza, BUENOS AIRES;6,480,000;5,460,000;12,400,000;14.49;18.67;9.57;54;51;-101;-101;47;43;Ezeiza;BUENOS AIRES;mar-24
Quitilipi, CHACO;247;2,420,000;28,8;15.35;9.55;14.19;74;68;-99;-95;64;64;Quitilipi;CHACO;mar-24
Coronel Pringles, SAN LUIS;1,330,000;104;163;11.31;16.31;11.02;90;77;-103;-102;82;68;Coronel Pringles;SAN LUIS;mar-24
Rivadavia, SALTA;383;2,920,000;--;10.20;10.44;--;104;90;-92;-92;94;84;Rivadavia;SALTA;mar-24
Yerba Buena, TUCUMÁN;2,520,000;3,130,000;423;13.80;20.14;9.31;72;57;-98;-98;64;51;Yerba Buena;TUCUMÁN;mar-24
La Viña, SALTA;104;1,720,000;23,6;13.24;11.59;12.04;78;78;-102;-97;70;70;La Viña;SALTA;mar-24
San Fernando, BUENOS AIRES;4,530,000;6,910,000;5,150,000;13.53;15.84;10.56;54;53;-98;-98;47;47;San Fernando;BUENOS AIRES;mar-24
Tapalqué, BUENOS AIRES;443;201;9,1;10.71;12.24;13.56;94;71;-104;-96;86;65;Tapalqué;BUENOS AIRES;mar-24
Pirané, FORMOSA;1,820,000;4,270,000;15,2;10.45;11.05;14.95;89;75;-97;-95;83;66;Pirané;FORMOSA;mar-24
Mayor Luis J. Fontana, CHACO;1,050,000;3,940,000;6,87;11.74;9.41;13.50;85;74;-104;-101;77;64;Mayor Luis J. Fontana;CHACO;mar-24
Guaymallén, MENDOZA;11,800,000;3,130,000;9,140,000;12.20;17.79;10.82;77;64;-100;-99;70;55;Guaymallén;MENDOZA;mar-24
Susques, JUJUY;31,7;113;--;1.62;0.48;--;850;850;-90;-90;793;793;Susques;JUJUY;mar-24
Avellaneda, SANTIAGO DEL ESTERO;530;2,710,000;6,95;12.13;12.61;10.17;83;69;-99;-96;73;67;Avellaneda;SANTIAGO DEL ESTERO;mar-24
Tapenagá, CHACO;56,9;129;--;16.60;18.13;--;70;57;-89;-89;60;46;Tapenagá;CHACO;mar-24
General Obligado, SANTA FE;4,040,000;6,120,000;157;13.85;14.29;16.31;69;64;-101;-101;62;53;General Obligado;SANTA FE;mar-24
Santiago del Estero, SANTIAGO DEL ESTERO;6,110,000;18,300,000;1,030,000;12.98;15.39;10.22;66;62;-100;-99;59;57;Santiago del Estero;SANTIAGO DEL ESTERO;mar-24
San Jerónimo, SANTA FE;2,330,000;4,500,000;339;12.02;15.08;13.84;73;60;-102;-100;67;51;San Jerónimo;SANTA FE;mar-24
Sargento Cabral, CHACO;80,9;1,140,000;4,62;15.14;14.11;12.54;70;65;-95;-83;61;56;Sargento Cabral;CHACO;mar-24
Iguazú, MISIONES;3,840,000;9,450,000;33,5;10.86;11.38;10.62;88;75;-100;-96;81;70;Iguazú;MISIONES;mar-24
Palpalá, JUJUY;1,410,000;2,110,000;165;13.16;12.41;9.23;78;71;-99;-99;70;69;Palpalá;JUJUY;mar-24
12 de Octubre, CHACO;94,5;2,110,000;2,7;13.80;13.92;16.85;79;67;-100;-98;68;60;12 de Octubre;CHACO;mar-24
Hucal, LA PAMPA;315;636;161;18.54;16.64;13.31;59;59;-96;-96;50;50;Hucal;LA PAMPA;mar-24
Colón, BUENOS AIRES;1,490,000;217;116;10.07;13.85;9.51;72;63;-103;-103;70;56;Colón;BUENOS AIRES;mar-24
Confluencia, NEUQUÉN;23,800,000;7,200,000;30,000,000;11.49;13.34;10.35;74;74;-100;-100;68;68;Confluencia;NEUQUÉN;mar-24
San Blas de los Sauces, LA RIOJA;52,2;268;254;12.44;15.93;--;90;72;-106;-106;80;62;San Blas de los Sauces;LA RIOJA;mar-24
25 de Mayo, MISIONES;68,6;1,050,000;--;12.64;8.65;--;95;91;-105;-105;83;83;25 de Mayo;MISIONES;mar-24
Leandro N. Alem, MISIONES;313;2,550,000;1,39;16.12;12.16;13.67;73;73;-97;-91;63;63;Leandro N. Alem;MISIONES;mar-24
Minas, NEUQUÉN;39,4;--;--;1.43;--;--;1,018;110;-101;-95;960;108;Minas;NEUQUÉN;mar-24
Las Heras, MENDOZA;5,960,000;2,690,000;6,930,000;12.58;16.17;11.51;79;65;-101;-100;71;56;Las Heras;MENDOZA;mar-24
La Cocha, TUCUMÁN;466;1,490,000;7,22;9.67;8.79;7.69;93;93;-99;-94;88;88;La Cocha;TUCUMÁN;mar-24
Loventué, LA PAMPA;296;2,35;304;12.43;12.88;7.63;81;66;-99;-92;73;63;Loventué;LA PAMPA;mar-24
Constitución, SANTA FE;3,270,000;3,540,000;257;11.93;16.20;12.16;67;59;-101;-101;62;51;Constitución;SANTA FE;mar-24
Santa María, CATAMARCA;239;1,930,000;--;10.44;7.85;--;76;76;-96;-96;69;69;Santa María;CATAMARCA;mar-24
Paso de los Libres, CORRIENTES;3,040,000;3,850,000;95,2;9.08;12.04;12.12;91;70;-100;-100;86;64;Paso de los Libres;CORRIENTES;mar-24
9 de Julio, SANTA FE;362;2,810,000;529;13.29;9.66;13.75;81;79;-97;-97;72;72;9 de Julio;SANTA FE;mar-24
Mercedes, BUENOS AIRES;1,530,000;984;2,920,000;10.97;11.93;8.30;88;64;-103;-103;81;53;Mercedes;BUENOS AIRES;mar-24
Güer Aike, SANTA CRUZ;7,900,000;1,460,000;8,640,000;11.66;12.93;10.13;83;83;-95;-95;75;75;Güer Aike;SANTA CRUZ;mar-24
General Manuel Belgrano, MISIONES;6,68;1,990,000;--;6.91;8.40;--;103;88;-95;-95;99;83;General Manuel Belgrano;MISIONES;mar-24
Rivadavia, SANTIAGO DEL ESTERO;195;207;185;16.38;18.64;--;68;68;-103;-96;58;58;Rivadavia;SANTIAGO DEL ESTERO;mar-24
Presidente Perón, BUENOS AIRES;2,830,000;1,080,000;2,710,000;11.35;12.62;7.54;65;63;-102;-102;61;58;Presidente Perón;BUENOS AIRES;mar-24
Tulumba, CÓRDOBA;799;1,690,000;16;13.63;18.55;9.69;62;57;-101;-91;53;50;Tulumba;CÓRDOBA;mar-24
Pilar, BUENOS AIRES;13,200,000;18,300,000;20,000,000;16.69;18.67;10.65;52;51;-99;-99;43;43;Pilar;BUENOS AIRES;mar-24
Ancasti, CATAMARCA;11,2;315;--;15.05;17.87;--;66;66;-107;-100;57;57;Ancasti;CATAMARCA;mar-24
Sauce, CORRIENTES;266;155;522;13.17;16.05;15.30;78;64;-94;-94;70;55;Sauce;CORRIENTES;mar-24
Lavalle, MENDOZA;1,720,000;1,040,000;152;8.84;7.98;6.55;90;90;-102;-101;87;87;Lavalle;MENDOZA;mar-24
Futaleufú, CHUBUT;796;105;3,750,000;9.58;17.43;8.28;98;71;-99;-99;91;62;Futaleufú;CHUBUT;mar-24
Chamical, LA RIOJA;556;762;17,3;13.27;14.40;11.38;78;68;-100;-100;69;61;Chamical;LA RIOJA;mar-24
Lihuel Calel, LA PAMPA;1,94;--;283;1.68;--;--;920;73;-94;-94;869;63;Lihuel Calel;LA PAMPA;mar-24
Vera, SANTA FE;1,320,000;1,920,000;16,4;13.70;17.34;19.70;69;56;-103;-96;62;48;Vera;SANTA FE;mar-24
Chalileo, LA PAMPA;61,2;--;--;15.58;--;--;81;81;-95;-95;71;71;Chalileo;LA PAMPA;mar-24
San Cristóbal, SANTA FE;2,220,000;4,340,000;8,9;12.98;13.25;15.07;76;73;-103;-102;69;65;San Cristóbal;SANTA FE;mar-24
Zárate, BUENOS AIRES;3,440,000;10,500,000;6,780,000;16.63;15.87;11.17;55;55;-102;-102;47;47;Zárate;BUENOS AIRES;mar-24
Valle Fértil, SAN JUAN;110;17,4;847;1.46;0.98;4.32;1,115;107;-97;-94;1,043;85;Valle Fértil;SAN JUAN;mar-24
Belgrano, SANTIAGO DEL ESTERO;39,4;1,170,000;--;16.76;17.28;--;73;64;-98;-98;62;57;Belgrano;SANTIAGO DEL ESTERO;mar-24
San Lorenzo, SANTA FE;11,000,000;11,100,000;2,450,000;8.71;12.04;12.39;82;66;-101;-101;82;60;San Lorenzo;SANTA FE;mar-24
Ramón Lista, FORMOSA;18,5;989;--;2.33;8.98;--;627;100;-84;-84;647;94;Ramón Lista;FORMOSA;mar-24
General Lamadrid, LA RIOJA;5,55;232;1,98;16.44;21.15;1.47;78;56;-98;-92;66;47;General Lamadrid;LA RIOJA;mar-24
General Belgrano, BUENOS AIRES;1,020,000;179;214;12.59;15.25;13.46;62;60;-101;-101;56;51;General Belgrano;BUENOS AIRES;mar-24
Monte, BUENOS AIRES;938;487;1,580,000;13.48;16.92;5.98;62;57;-104;-101;55;48;Monte;BUENOS AIRES;abr-24
Mitre, SANTIAGO DEL ESTERO;153;84,4;--;--;18.54;--;61;61;-84;-84;56;55;Mitre;SANTIAGO DEL ESTERO;abr-24
Ituzaingó, CORRIENTES;2,610,000;2,880,000;8,27;8.37;9.16;13.97;99;77;-103;-102;97;68;Ituzaingó;CORRIENTES;abr-24
General Lavalle, BUENOS AIRES;128;81,6;518;13.32;21.89;15.75;75;53;-103;-99;66;44;General Lavalle;BUENOS AIRES;abr-24
Valle Viejo, CATAMARCA;1,280,000;1,500,000;98;13.27;13.29;10.28;77;69;-100;-100;68;64;Valle Viejo;CATAMARCA;abr-24
Tordillo, BUENOS AIRES;93,9;155;235;15.76;26.54;11.09;65;48;-102;-98;56;39;Tordillo;BUENOS AIRES;abr-24
Totoral, CÓRDOBA;998;1,700,000;11,3;12.93;13.48;9.89;66;66;-103;-101;60;60;Totoral;CÓRDOBA;abr-24
Coronel Suárez, BUENOS AIRES;753;497;1,550,000;16.57;19.51;9.37;64;58;-101;-101;54;49;Coronel Suárez;BUENOS AIRES;abr-24
Chilecito, LA RIOJA;451;5,340,000;6,57;13.02;12.81;9.10;87;71;-99;-99;76;65;Chilecito;LA RIOJA;abr-24
Tupungato, MENDOZA;2,940,000;413;1,070,000;7.02;13.62;10.26;90;75;-102;-102;94;66;Tupungato;MENDOZA;abr-24
Suipacha, BUENOS AIRES;514;87,4;134;10.76;14.58;8.44;85;59;-102;-102;78;44;Suipacha;BUENOS AIRES;abr-24
Villa Gesell, BUENOS AIRES;1,300,000;919;3,720,000;16.71;22.91;11.36;63;51;-101;-99;53;43;Villa Gesell;BUENOS AIRES;abr-24
Avellaneda, RÍO NEGRO;5,250,000;680;604;9.99;15;10.87;80;74;-97;-97;72;64;Avellaneda;RÍO NEGRO;abr-24
Arrecifes, BUENOS AIRES;1,650,000;321;244;14.33;16.18;15.62;65;61;-101;-101;57;52;Arrecifes;BUENOS AIRES;abr-24
Moreno, SANTIAGO DEL ESTERO;130;4,640,000;11,7;14.55;7.92;10.40;78;78;-99;-91;68;68;Moreno;SANTIAGO DEL ESTERO;abr-24
General Alvear, CORRIENTES;151;1,040,000;569;13.53;7.51;6.37;74;74;-100;-100;66;66;General Alvear;CORRIENTES;abr-24
9 de Julio, RÍO NEGRO;12,8;--;--;1.34;--;--;968;110;-87;-87;853;113;9 de Julio;RÍO NEGRO;abr-24
General Donovan, CHACO;193;937;1,1;15.90;13.37;10.46;71;65;-98;-97;61;61;General Donovan;CHACO;abr-24
Fray Mamerto Esquiú, CATAMARCA;705;392;49,1;13.94;14.80;11.84;76;68;-103;-97;67;60;Fray Mamerto Esquiú;CATAMARCA;abr-24
San Antonio de Areco, BUENOS AIRES;737;480;852;12.39;13.17;8.36;67;62;-101;-101;60;56;San Antonio de Areco;BUENOS AIRES;abr-24
Bermejo, FORMOSA;169;1,620,000;--;13.08;10.47;--;76;76;-90;-90;67;67;Bermejo;FORMOSA;abr-24
Catán Lil, NEUQUÉN;--;--;19,1;--;--;0.87;--;--;--;--;--;--;Catán Lil;NEUQUÉN;abr-24
Chos Malal, NEUQUÉN;699;35,9;515;11.38;12.86;12.30;86;80;-101;-93;78;73;Chos Malal;NEUQUÉN;abr-24
Ullum, SAN JUAN;183;131;110;14.19;16.26;9.78;75;69;-106;-99;66;57;Ullum;SAN JUAN;abr-24
Lácar, NEUQUÉN;1,760,000;543;1,700,000;10.97;9.71;11.55;90;88;-101;-98;83;82;Lácar;NEUQUÉN;abr-24
Aluminé, NEUQUÉN;104;335;612;1.56;--;11.33;1,043;85;-96;-96;931;78;Aluminé;NEUQUÉN;abr-24
Oberá, MISIONES;965;4,860,000;98,7;11.25;12.45;14.58;92;74;-103;-103;84;64;Oberá;MISIONES;abr-24
General Guido, BUENOS AIRES;108;45,1;172;14.27;19.57;16.25;75;58;-98;-98;66;49;General Guido;BUENOS AIRES;abr-24
Tafí del Valle, TUCUMÁN;822;2,170,000;56,2;11.93;10.18;10.75;91;77;-101;-101;82;77;Tafí del Valle;TUCUMÁN;abr-24
Catriló, LA PAMPA;585;68,5;141;15.13;11.08;12.83;65;65;-101;-94;56;56;Catriló;LA PAMPA;abr-24
Lincoln, BUENOS AIRES;2,560,000;476;447;13.55;13.91;14.61;65;58;-101;-101;57;48;Lincoln;BUENOS AIRES;abr-24
Deseado, SANTA CRUZ;13,500,000;607;7,520,000;8.57;16.70;10.83;91;77;-100;-96;87;66;Deseado;SANTA CRUZ;abr-24
Bella Vista, CORRIENTES;432;1,930,000;11,8;14.86;11.35;11.06;76;70;-101;-95;67;64;Bella Vista;CORRIENTES;abr-24
Curacó, LA PAMPA;35,5;--;--;1.31;--;--;1,136;1,136;-94;-94;1,027;1,027;Curacó;LA PAMPA;abr-24
Saladas, CORRIENTES;506;1,900,000;11,1;11.84;7.89;16.39;79;69;-101;-101;71;60;Saladas;CORRIENTES;abr-24
Carmen de Areco, BUENOS AIRES;580;470;870;11.07;19;9.97;76;52;-99;-99;70;44;Carmen de Areco;BUENOS AIRES;abr-24
Gaiman, CHUBUT;1,040,000;33,7;152;11.04;7.92;13.28;82;75;-105;-102;75;67;Gaiman;CHUBUT;abr-24
Famatina, LA RIOJA;4,69;407;139;2.98;17.86;--;602;65;-96;-96;617;56;Famatina;LA RIOJA;abr-24
Villarino, BUENOS AIRES;1,970,000;1,010,000;1,580,000;12.85;15.64;14.16;67;64;-101;-98;59;56;Villarino;BUENOS AIRES;abr-24
Vicente López, BUENOS AIRES;4,950,000;6,590,000;6,880,000;13.84;18.08;13.85;55;50;-97;-97;48;43;Vicente López;BUENOS AIRES;abr-24
Magdalena, BUENOS AIRES;501;385;667;13.73;7.09;7.73;65;65;-102;-102;57;57;Magdalena;BUENOS AIRES;abr-24
San Martín, CORRIENTES;588;1,090,000;3,32;12.68;7.06;3.92;82;82;-101;-98;73;73;San Martín;CORRIENTES;abr-24
Necochea, BUENOS AIRES;3,820,000;1,240,000;2,070,000;12.47;17.20;11.16;74;64;-100;-100;66;55;Necochea;BUENOS AIRES;abr-24
Rosario, SANTA FE;33,400,000;40,400,000;18,300,000;12.37;14.19;13.74;64;58;-100;-100;57;50;Rosario;SANTA FE;abr-24
Paraná, ENTRE RÍOS;5,580,000;16,400,000;2,150,000;11.39;11.13;12.45;74;68;-102;-102;68;60;Paraná;ENTRE RÍOS;abr-24
Feliciano, ENTRE RÍOS;351;230;720;11.10;18.28;22.07;88;45;-104;-99;81;38;Feliciano;ENTRE RÍOS;abr-24
Bragado, BUENOS AIRES;2,040,000;248;393;10.55;18.91;13.21;80;54;-99;-99;72;45;Bragado;BUENOS AIRES;abr-24
Esteban Echeverría, BUENOS AIRES;7,000,000;9,870,000;11,500,000;14.87;15.90;9.75;56;55;-101;-101;49;48;Esteban Echeverría;BUENOS AIRES;abr-24
Telsen, CHUBUT;60,5;--;--;1.33;--;--;1,062;1,062;-94;-94;983;983;Telsen;CHUBUT;abr-24
Guachipas, SALTA;26,9;530;145;14.76;10.12;--;78;67;-87;-87;67;56;Guachipas;SALTA;abr-24
Santa Catalina, JUJUY;--;142;--;--;--;--;--;--;--;--;--;--;Santa Catalina;JUJUY;abr-24
Ojo de Agua, SANTIAGO DEL ESTERO;6,39;2,270,000;1,12;6.27;4.40;3.91;119;116;-97;-97;113;113;Ojo de Agua;SANTIAGO DEL ESTERO;abr-24
General Paz, BUENOS AIRES;586;138;414;12.85;17.24;5.12;65;51;-101;-97;57;41;General Paz;BUENOS AIRES;abr-24
Santa Victoria, SALTA;109;49,1;--;1.24;0.35;--;1,315;1,315;-103;-103;1,203;841;Santa Victoria;SALTA;abr-24
Independencia, CHACO;224;1,330,000;1,15;13.61;10.23;9.85;73;72;-101;-95;65;65;Independencia;CHACO;abr-24
Rancul, LA PAMPA;473;35,6;212;17.55;14.85;10.70;61;61;-98;-95;51;51;Rancul;LA PAMPA;abr-24
Rivadavia, SAN JUAN;1,820,000;1,540,000;2,740,000;14.86;18.57;11.19;69;64;-100;-98;60;56;Rivadavia;SAN JUAN;abr-24
Rauch, BUENOS AIRES;957;93,7;327;10.35;20.22;10.71;101;60;-100;-98;93;50;Rauch;BUENOS AIRES;abr-24
Maipú, BUENOS AIRES;657;174;324;13.40;21.38;13.93;71;53;-101;-96;62;44;Maipú;BUENOS AIRES;abr-24
San Javier, MISIONES;14,7;1,140,000;8,55;8.87;10.37;1.33;104;83;-108;-100;97;76;San Javier;MISIONES;abr-24
Carlos Casares, BUENOS AIRES;953;304;330;11.77;13.16;7.33;68;66;-104;-104;63;59;Carlos Casares;BUENOS AIRES;abr-24
Pocito, SAN JUAN;1,430,000;1,220,000;2,460,000;13.78;15.83;9.78;73;66;-103;-100;65;59;Pocito;SAN JUAN;abr-24
Pilcaniyeu, RÍO NEGRO;190;97,3;431;9.53;13.68;10.50;112;75;-97;-97;100;66;Pilcaniyeu;RÍO NEGRO;abr-24
Valcheta, RÍO NEGRO;55,9;1,69;160;1.66;13.41;13;821;75;-98;-93;799;66;Valcheta;RÍO NEGRO;abr-24
Lago Buenos Aires, SANTA CRUZ;1,310,000;4,64;474;11.79;7.42;10.66;85;85;-98;-93;76;74;Lago Buenos Aires;SANTA CRUZ;abr-24
Juárez Celman, CÓRDOBA;4,490,000;2,110,000;104;13.81;20.15;13.79;67;58;-99;-99;59;49;Juárez Celman;CÓRDOBA;abr-24
General Alvarado, BUENOS AIRES;2,240,000;480;1,340,000;12.92;19.80;14.12;69;56;-102;-102;62;48;General Alvarado;BUENOS AIRES;abr-24
Rinconada, JUJUY;--;151;--;--;12.01;--;--;--;--;--;--;--;Rinconada;JUJUY;abr-24
Jáchal, SAN JUAN;220;51,7;1,260,000;16.02;12.35;10.24;67;67;-99;-97;57;57;Jáchal;SAN JUAN;abr-24
Adolfo Alsina, RÍO NEGRO;1,400,000;793;5,170,000;13.16;13.36;11.32;68;62;-98;-98;60;54;Adolfo Alsina;RÍO NEGRO;abr-24
General Lamadrid, BUENOS AIRES;501;2,71;93,5;12.25;15.62;14.48;70;69;-101;-94;60;60;General Lamadrid;BUENOS AIRES;abr-24
Berón de Astrada, CORRIENTES;224;119;394;12.83;15.40;11.80;77;70;-102;-102;68;62;Berón de Astrada;CORRIENTES;abr-24
Santa Rosa, MENDOZA;797;503;16,2;11.25;14.31;7.62;85;77;-106;-104;78;68;Santa Rosa;MENDOZA;abr-24
Chacabuco, CHACO;243;2,610,000;373;15.03;10.92;16.77;75;70;-101;-98;66;62;Chacabuco;CHACO;abr-24
Angaco, SAN JUAN;260;119;29,4;15.42;6.82;10.57;70;70;-100;-100;62;62;Angaco;SAN JUAN;abr-24
Santa María, CÓRDOBA;7,410,000;8,030,000;718;11.92;15.52;10.74;70;60;-102;-99;64;53;Santa María;CÓRDOBA;abr-24
Salavina, SANTIAGO DEL ESTERO;1,54;994;--;8.09;15.93;--;101;65;-76;-76;99;57;Salavina;SANTIAGO DEL ESTERO;abr-24
Patagones, BUENOS AIRES;1,320,000;416;1,890,000;15.55;18.27;11.97;66;60;-100;-100;56;50;Patagones;BUENOS AIRES;abr-24
Pocho, CÓRDOBA;9,31;443;--;15;16.97;--;61;60;-99;-99;52;52;Pocho;CÓRDOBA;abr-24
Ayacucho, BUENOS AIRES;969;206;367;10.54;13.18;11.33;81;72;-101;-99;74;65;Ayacucho;BUENOS AIRES;abr-24
General Belgrano, CHACO;77,3;565;3,64;15.03;13.27;12.66;74;65;-104;-100;64;59;General Belgrano;CHACO;abr-24
Silípica, SANTIAGO DEL ESTERO;62,9;451;193;11.59;14.44;--;68;68;-105;-101;59;59;Silípica;SANTIAGO DEL ESTERO;abr-24
General San Martín, BUENOS AIRES;9,760,000;15,100,000;13,500,000;13.67;14.73;10.82;56;55;-100;-98;49;49;General San Martín;BUENOS AIRES;abr-24
Guaminí, BUENOS AIRES;631;106;464;16.25;18.42;14.68;63;63;-101;-97;53;53;Guaminí;BUENOS AIRES;abr-24
Maracó, LA PAMPA;2,120,000;193;1,840,000;14.28;17.86;12.75;65;62;-99;-99;57;53;Maracó;LA PAMPA;abr-24
Tilcara, JUJUY;231;2,630,000;2,89;4.55;8.58;4.22;102;96;-104;-96;117;97;Tilcara;JUJUY;abr-24
Rosario Vera Peñaloza, LA RIOJA;60,5;885;--;1.77;19.63;--;728;59;-90;-90;729;49;Rosario Vera Peñaloza;LA RIOJA;abr-24
Conesa, RÍO NEGRO;203;104;655;14.51;15.30;11.05;64;64;-94;-88;55;55;Conesa;RÍO NEGRO;abr-24
Andalgalá, CATAMARCA;247;3,170,000;1,53;17.18;12.63;3.52;69;69;-101;-101;56;56;Andalgalá;CATAMARCA;abr-24
Tafí Viejo, TUCUMÁN;6,810,000;13,300,000;1,760,000;12.66;14.79;7.83;73;62;-100;-100;65;58;Tafí Viejo;TUCUMÁN;abr-24
Rosario de la Frontera, SALTA;557;3,450,000;39,2;10.41;10.03;11.68;82;82;-102;-102;76;76;Rosario de la Frontera;SALTA;abr-24
Los Lagos, NEUQUÉN;945;232;1,950,000;8.20;8.94;9.44;97;97;-104;-98;96;96;Los Lagos;NEUQUÉN;abr-24
Choya, SANTIAGO DEL ESTERO;2,540,000;2,680,000;234;10.36;14.27;8.37;73;70;-98;-98;68;66;Choya;SANTIAGO DEL ESTERO;abr-24
La Poma, SALTA;64,8;16,8;--;1.24;0.55;--;1,154;1,154;-92;-87;1,018;1,018;La Poma;SALTA;abr-24
La Candelaria, SALTA;83,6;1,570,000;--;8.92;10.99;--;80;80;-102;-97;72;72;La Candelaria;SALTA;abr-24
Corpen Aike, SANTA CRUZ;843;87,8;1,090,000;10.64;11.57;9.15;92;92;-103;-95;83;83;Corpen Aike;SANTA CRUZ;abr-24
Punta Indio, BUENOS AIRES;323;128;8;15.58;21.97;19.79;55;49;-103;-93;46;42;Punta Indio;BUENOS AIRES;abr-24
General José de San Martín, SALTA;5,400,000;16,600,000;350;9.96;12.41;8.64;105;79;-100;-99;97;75;General José de San Martín;SALTA;abr-24
Paclín, CATAMARCA;137;291;402;9.84;17.43;10.32;135;65;-104;-104;127;56;Paclín;CATAMARCA;abr-24
Laprida, BUENOS AIRES;305;3,7;512;11.07;11.74;11.58;75;71;-102;-99;67;62;Laprida;BUENOS AIRES;abr-24
Coronel Dorrego, BUENOS AIRES;377;332;1,110,000;16.12;18.37;11.24;67;61;-102;-100;56;51;Coronel Dorrego;BUENOS AIRES;abr-24
San Ignacio, MISIONES;912;3,020,000;39,8;15.43;12.22;14.88;72;72;-101;-99;62;62;San Ignacio;MISIONES;abr-24
Río Segundo, CÓRDOBA;5,870,000;2,160,000;184;13.98;18.58;11.96;63;57;-100;-99;55;49;Río Segundo;CÓRDOBA;abr-24
Itatí, CORRIENTES;355;1,560,000;507;11.77;9.18;11;77;74;-103;-98;70;70;Itatí;CORRIENTES;abr-24
Exaltación de la Cruz, BUENOS AIRES;2,380,000;1,120,000;1,310,000;9.85;12.22;12.78;70;59;-103;-103;68;52;Exaltación de la Cruz;BUENOS AIRES;abr-24
Pomán, CATAMARCA;542;1,880,000;1,39;13.65;11.45;4.84;70;70;-102;-101;61;61;Pomán;CATAMARCA;abr-24
Maipú, CHACO;144;1,680,000;675;14.51;9.95;13.29;75;66;-102;-99;65;59;Maipú;CHACO;abr-24
Loncopué, NEUQUÉN;90,7;12,7;818;1.68;5.49;7.86;986;124;-94;-88;925;122;Loncopué;NEUQUÉN;abr-24
Tandil, BUENOS AIRES;2,920,000;3,120,000;3,550,000;12.33;13.77;10.06;74;66;-102;-102;66;60;Tandil;BUENOS AIRES;abr-24
Sobremonte, CÓRDOBA;103;278;--;13.54;21.43;--;61;55;-101;-100;51;47;Sobremonte;CÓRDOBA;abr-24
Presidente Roque Sáenz Peña, CÓRDOBA;1,690,000;1,080,000;6,71;11.98;17.86;9.08;79;65;-100;-100;71;57;Presidente Roque Sáenz Peña;CÓRDOBA;abr-24
San Carlos, MENDOZA;2,100,000;489;701;8.94;14.91;10.15;83;77;-104;-104;81;69;San Carlos;MENDOZA;abr-24
Nogoyá, ENTRE RÍOS;630;1,810,000;4,14;10.94;11.74;11.91;87;68;-105;-102;80;61;Nogoyá;ENTRE RÍOS;abr-24
Matacos, FORMOSA;376;2,260,000;--;13.41;3.56;--;77;77;-97;-97;68;68;Matacos;FORMOSA;abr-24
Monteros, TUCUMÁN;2,720,000;2,680,000;98,6;13.20;15.41;10.59;74;65;-98;-98;66;59;Monteros;TUCUMÁN;abr-24
Río Cuarto, CÓRDOBA;10,900,000;9,410,000;822;13.42;16.82;10.43;67;59;-100;-100;59;52;Río Cuarto;CÓRDOBA;abr-24
Florencio Varela, BUENOS AIRES;10,200,000;8,220,000;13,700,000;11.24;13.91;9.96;65;61;-102;-102;60;56;Florencio Varela;BUENOS AIRES;abr-24
General Roca, RÍO NEGRO;16,200,000;5,440,000;20,800,000;11.13;12.35;10.67;78;78;-101;-101;72;72;General Roca;RÍO NEGRO;abr-24
Albardón, SAN JUAN;418;668;341;13.01;14.57;9.17;80;73;-105;-102;74;65;Albardón;SAN JUAN;abr-24
Atamisqui, SANTIAGO DEL ESTERO;55;690;518;13.54;10.17;9.27;59;59;-93;-93;51;51;Atamisqui;SANTIAGO DEL ESTERO;abr-24
Lago Argentino, SANTA CRUZ;1,630,000;265;970;8.11;10.23;9.88;107;99;-101;-101;104;95;Lago Argentino;SANTA CRUZ;abr-24
Libertad, CHACO;312;886;37,8;13.36;12.08;15.77;81;66;-106;-102;73;58;Libertad;CHACO;abr-24
Formosa, FORMOSA;9,720,000;22,700,000;522;9.93;9.42;12.16;86;75;-100;-99;81;70;Formosa;FORMOSA;abr-24
Leandro N. Alem, BUENOS AIRES;766;114;351;14.53;16.02;14.17;64;63;-101;-98;56;54;Leandro N. Alem;BUENOS AIRES;abr-24
Coronel Pringles, BUENOS AIRES;229;191;1,740,000;14.91;16.26;8.83;73;62;-103;-103;62;53;Coronel Pringles;BUENOS AIRES;abr-24
Patiño, FORMOSA;1,210,000;9,470,000;9,84;14.40;7;13.18;77;71;-100;-92;67;67;Patiño;FORMOSA;abr-24
