Departamentos;Muestras Claro;Muestras Personal;Muestras Movistar;THP Claro;THP Personal;THP Movistar;Latencia Claro;Latencia Mejor;Intensidad Claro;Intensidad Mejor;Tiempo IyV Claro;Tiempo IyV Mejor;Localidad;Provincia;Periodo
Rosario de la Frontera, SALTA;833;4,450,000;60,5;10.59;10.84;13.64;78;75;-102;-100;75;75;Rosario de la Frontera;SALTA;jun-24
Los Lagos, NEUQUÉN;2,190,000;537;3,670,000;8.62;9.81;11.48;89;80;-104;-99;94;83;Los Lagos;NEUQUÉN;jun-24
Choya, SANTIAGO DEL ESTERO;3,590,000;4,110,000;310;10.49;14.81;7.22;70;64;-96;-96;67;64;Choya;SANTIAGO DEL ESTERO;jun-24
La Poma, SALTA;62,7;20,2;--;0.84;0.71;--;1,427;1,427;-89;-87;1,249;1,156;La Poma;SALTA;jun-24
La Candelaria, SALTA;184;2,480,000;204;10.97;11.68;--;70;70;-102;-95;67;67;La Candelaria;SALTA;jun-24
Corpen Aike, SANTA CRUZ;1,400,000;223;2,020,000;12.07;12.13;10.11;85;81;-103;-95;81;77;Corpen Aike;SANTA CRUZ;jun-24
Punta Indio, BUENOS AIRES;792;279;22;16.88;24.61;15.79;50;44;-102;-102;46;39;Punta Indio;BUENOS AIRES;jun-24
General José de San Martín, SALTA;7,210,000;22,100,000;465;10.42;12.48;10.54;103;76;-99;-98;98;74;General José de San Martín;SALTA;jun-24
Paclín, CATAMARCA;215;491;1,43;9.67;17.74;13.10;108;64;-104;-102;110;58;Paclín;CATAMARCA;jun-24
Laprida, BUENOS AIRES;561;6,49;1,090,000;11.99;13.18;13.42;70;67;-102;-97;69;62;Laprida;BUENOS AIRES;jun-24
Coronel Dorrego, BUENOS AIRES;786;494;2,140,000;15.60;19.39;11.81;67;53;-102;-100;61;49;Coronel Dorrego;BUENOS AIRES;jun-24
San Ignacio, MISIONES;1,710,000;5,310,000;45,2;16.05;11.89;15.23;67;67;-100;-100;62;60;San Ignacio;MISIONES;jun-24
Río Segundo, CÓRDOBA;15,000,000;5,700,000;467;15.16;21.09;12.41;56;50;-99;-99;54;48;Río Segundo;CÓRDOBA;jun-24
Itatí, CORRIENTES;505;2,420,000;785;13.15;9.49;20.33;71;54;-101;-93;66;60;Itatí;CORRIENTES;jun-24
Exaltación de la Cruz, BUENOS AIRES;4,330,000;2,110,000;2,430,000;11.22;14.27;15.36;62;51;-102;-102;63;47;Exaltación de la Cruz;BUENOS AIRES;jun-24
Pomán, CATAMARCA;882;2,910,000;195;13.53;10.87;--;68;68;-100;-100;63;63;Pomán;CATAMARCA;jun-24
Maipú, CHACO;274;2,730,000;1,19;15.40;10.71;15.54;70;70;-101;-97;65;65;Maipú;CHACO;jun-24
Loncopué, NEUQUÉN;160;36,7;1,590,000;1.19;13.59;8.94;1,246;84;-91;-86;1,173;73;Loncopué;NEUQUÉN;jun-24
Tandil, BUENOS AIRES;7,100,000;7,900,000;8,860,000;13.56;14.27;11.10;69;61;-100;-100;66;59;Tandil;BUENOS AIRES;jun-24
Sobremonte, CÓRDOBA;200;688;248;15.12;18.93;--;54;54;-98;-95;51;51;Sobremonte;CÓRDOBA;jun-24
Presidente Roque Sáenz Peña, CÓRDOBA;4,600,000;3,060,000;17,4;13.62;18.11;13.79;69;59;-99;-93;67;57;Presidente Roque Sáenz Peña;CÓRDOBA;jun-24
San Carlos, MENDOZA;3,430,000;436;1,030,000;10.71;14.21;11.33;75;74;-103;-102;74;69;San Carlos;MENDOZA;jun-24
Nogoyá, ENTRE RÍOS;1,400,000;4,130,000;9,32;11.97;13.41;12.45;77;59;-105;-100;74;57;Nogoyá;ENTRE RÍOS;jun-24
Matacos, FORMOSA;533;3,020,000;1,35;13.61;3.34;17.06;74;67;-94;-94;69;61;Matacos;FORMOSA;jun-24
Monteros, TUCUMÁN;4,110,000;4,290,000;135;13.59;14.08;12.60;70;70;-97;-97;66;66;Monteros;TUCUMÁN;jun-24
Río Cuarto, CÓRDOBA;28,500,000;25,200,000;1,810,000;14.74;17.95;11.61;60;53;-98;-98;57;52;Río Cuarto;CÓRDOBA;jun-24
Florencio Varela, BUENOS AIRES;18,900,000;15,300,000;30,200,000;12.82;15.78;11.25;57;52;-100;-100;56;49;Florencio Varela;BUENOS AIRES;jun-24
General Roca, RÍO NEGRO;29,100,000;9,170,000;36,000,000;12.60;14.79;10.95;72;68;-100;-100;69;65;General Roca;RÍO NEGRO;jun-24
Albardón, SAN JUAN;681;979;557;13.54;12.73;10.05;74;74;-104;-100;70;70;Albardón;SAN JUAN;jun-24
Atamisqui, SANTIAGO DEL ESTERO;112;1,170,000;750;14.67;10.19;8.99;55;55;-90;-90;52;52;Atamisqui;SANTIAGO DEL ESTERO;jun-24
Lago Argentino, SANTA CRUZ;2,650,000;634;1,630,000;8.87;12.75;10.73;97;87;-101;-101;99;85;Lago Argentino;SANTA CRUZ;jun-24
Libertad, CHACO;648;1,430,000;49,4;14.63;12.93;16.17;75;60;-105;-101;71;56;Libertad;CHACO;jun-24
Formosa, FORMOSA;18,100,000;38,800,000;927;10.90;10.64;13.21;79;67;-99;-97;77;66;Formosa;FORMOSA;jun-24
Leandro N. Alem, BUENOS AIRES;1,670,000;257;695;15.34;15.22;14.86;58;57;-100;-97;54;51;Leandro N. Alem;BUENOS AIRES;jun-24
Coronel Pringles, BUENOS AIRES;481;309;2,790,000;13.79;19.78;9.37;69;52;-102;-102;64;48;Coronel Pringles;BUENOS AIRES;jun-24
Patiño, FORMOSA;1,940,000;13,100,000;31,2;14.83;8.09;14.98;73;65;-98;-90;67;63;Patiño;FORMOSA;jun-24
Ramallo, BUENOS AIRES;6,220,000;4,760,000;704;13.14;14.28;11.69;62;51;-102;-101;60;49;Ramallo;BUENOS AIRES;jun-24
Adolfo Alsina, BUENOS AIRES;415;397;2,740,000;17.30;16.76;12.78;64;61;-100;-98;59;59;Adolfo Alsina;BUENOS AIRES;jun-24
General Arenales, BUENOS AIRES;2,220,000;233;147;16.37;11.44;19.12;55;52;-100;-95;51;45;General Arenales;BUENOS AIRES;jun-24
San Lorenzo, CHACO;145;1,520,000;2,07;17.02;11.85;16.36;68;63;-99;-93;61;61;San Lorenzo;CHACO;jun-24
La Paz, ENTRE RÍOS;3,270,000;7,290,000;23,8;12.52;13.62;12.35;77;57;-99;-98;75;55;La Paz;ENTRE RÍOS;jun-24
General Ocampo, LA RIOJA;65,1;826;1,7;17.69;16.89;18.42;62;57;-91;-90;56;51;General Ocampo;LA RIOJA;jun-24
